DATE,0,1,2,3,4,5,Average,Yearly_Deviation
2014-03-27,0.0,0.0,0.59,0.75,0.61,0.24,0.3649999999999999,
2014-03-28,0.18,0.0,0.0,0.0,0.0,0.0,0.03,
2014-03-29,0.0,0.02,0.0,0.0,0.0,0.0,0.004,
2014-03-30,0.1,0.0,1.12,0.1,0.71,1.08,0.5183333333333334,
2014-03-31,0.43,0.04,0.61,1.42,0.94,0.0,0.5733333333333334,
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-03,0.12,0.0,0.0,0.0,0.0,0.0,0.024,
2014-04-04,0.0,0.02,0.16,2.15,0.37,0.39,0.6180000000000001,
2014-04-05,0.08,0.53,0.1,0.02,0.0,0.02,0.125,
2014-04-06,0.28,0.04,0.2,0.0,0.28,0.43,0.205,
2014-04-07,0.0,0.02,0.0,0.0,0.0,0.0,0.0033333333333333,
2014-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-10,0.0,0.22,0.0,0.0,0.0,0.0,0.044,
2014-04-11,0.0,0.1,0.0,0.0,0.0,0.0,0.02,
2014-04-12,0.0,0.02,0.0,0.0,0.0,0.0,0.004,
2014-04-13,0.0,0.0,0.0,0.0,0.0,0.37,0.074,
2014-04-14,0.0,0.0,0.0,0.0,0.0,0.31,0.062,
2014-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-16,0.0,0.0,0.0,0.02,0.0,0.0,0.004,
2014-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-18,0.0,0.0,0.14,0.0,0.33,0.35,0.1366666666666667,
2014-04-19,0.02,0.0,0.0,0.0,0.02,0.0,0.0066666666666666,
2014-04-20,0.02,0.0,0.0,0.0,0.0,0.18,0.0399999999999999,
2014-04-21,0.08,0.0,0.49,0.0,0.0,0.04,0.1016666666666666,
2014-04-22,0.2,0.0,0.41,0.12,0.0,0.0,0.1216666666666666,
2014-04-23,0.31,0.0,0.0,0.0,0.0,0.0,0.0516666666666666,
2014-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-28,0.0,0.0,0.0,0.0,0.0,0.06,0.012,
2014-04-29,0.0,0.0,0.22,0.0,0.43,0.08,0.1216666666666666,
2014-04-30,0.3,0.0,3.27,0.1,1.42,0.02,0.8516666666666666,
2014-05-01,1.67,0.02,0.06,0.57,0.0,0.14,0.41,
2014-05-02,0.0,0.02,0.0,0.3,0.0,0.0,0.0533333333333333,
2014-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-06,0.14,0.04,0.0,0.0,0.16,0.0,0.068,
2014-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-09,0.0,0.0,0.04,0.0,0.0,0.0,0.0066666666666666,
2014-05-10,0.06,0.0,0.0,0.02,0.0,0.0,0.0133333333333333,
2014-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-12,0.0,0.0,0.0,0.0,0.0,0.35,0.0699999999999999,
2014-05-13,0.22,0.0,1.44,0.1,0.65,0.71,0.52,
2014-05-14,0.04,0.0,0.0,0.0,0.0,0.0,0.0066666666666666,
2014-05-15,0.02,0.0,0.0,0.0,0.1,0.28,0.08,
2014-05-16,0.0,0.16,0.0,0.26,0.04,0.02,0.096,
2014-05-17,0.0,1.48,0.0,0.0,0.0,0.0,0.296,
2014-05-18,0.0,0.22,0.0,0.0,0.0,0.0,0.044,
2014-05-19,0.0,0.08,0.0,0.0,0.0,0.0,0.016,
2014-05-20,0.0,0.0,0.0,0.0,0.0,0.06,0.012,
2014-05-21,1.32,0.0,1.44,0.22,1.56,2.11,1.1083333333333334,
2014-05-22,0.73,0.26,0.16,1.54,0.02,0.0,0.4516666666666666,
2014-05-23,0.77,0.0,0.0,0.0,0.0,0.0,0.1283333333333333,
2014-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-26,0.0,0.0,0.0,0.0,0.0,0.18,0.036,
2014-05-27,1.14,0.1,0.0,0.61,0.67,0.0,0.504,
2014-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-06-03,0.0,0.0,0.0,0.0,0.0,0.16,0.032,
2014-06-04,0.0,0.0,0.0,0.0,0.0,0.14,0.028,
2014-06-05,0.0,0.0,0.18,0.0,0.41,0.0,0.0983333333333333,
2014-06-06,0.79,0.0,0.53,0.02,0.0,0.0,0.2233333333333333,
2014-06-07,6.42,0.0,1.04,0.24,0.55,0.02,1.3783333333333332,
2014-06-08,1.04,0.04,0.0,1.63,0.16,0.0,0.4783333333333333,
2014-06-09,0.0,0.55,0.0,1.65,0.0,0.0,0.44,
2014-06-10,0.26,0.0,0.0,0.75,0.14,0.0,0.2299999999999999,
2014-06-11,0.0,0.12,0.06,0.18,0.14,0.0,0.0833333333333333,
2014-06-12,1.1,0.43,0.04,0.81,0.02,0.0,0.3999999999999999,
2014-06-13,0.04,0.75,0.0,1.71,0.0,0.0,0.4166666666666667,
2014-06-14,0.06,1.14,0.0,0.0,0.22,0.0,0.284,
2014-06-15,0.0,0.02,0.0,0.0,0.0,0.0,0.004,
2014-06-16,0.0,0.43,0.0,0.0,0.0,0.0,0.086,
2014-06-17,0.0,0.3,0.0,0.0,0.0,0.02,0.064,
2014-06-18,0.0,0.12,0.0,0.04,0.0,1.38,0.3079999999999999,
2014-06-19,0.0,0.0,0.0,0.0,0.04,0.0,0.008,
2014-06-20,0.0,0.0,0.0,0.1,0.0,0.0,0.02,
2014-06-21,0.0,0.0,0.0,0.0,0.0,0.02,0.004,
2014-06-22,0.08,0.0,0.14,0.0,0.31,2.01,0.4233333333333333,
2014-06-23,0.16,0.0,0.02,0.0,0.1,0.04,0.0533333333333333,
2014-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-06-25,0.22,0.0,0.0,0.0,0.0,0.0,0.044,
2014-06-26,0.18,0.0,0.0,0.0,0.0,0.0,0.036,
2014-06-27,0.0,0.0,0.0,0.0,0.28,0.14,0.084,
2014-06-28,0.45,0.0,0.3,0.1,0.18,0.06,0.1816666666666666,
2014-06-29,0.85,0.0,0.35,1.14,0.39,0.0,0.455,
2014-06-30,0.59,0.0,0.0,1.16,0.0,0.0,0.2916666666666667,
2014-07-01,0.06,0.0,0.0,0.0,0.0,0.0,0.012,
2014-07-02,0.0,0.0,0.0,0.24,0.0,0.0,0.048,
2014-07-03,0.0,0.0,0.0,0.0,0.06,3.46,0.704,
2014-07-04,0.22,0.0,0.0,0.02,0.77,0.79,0.36,
2014-07-05,0.12,0.0,0.71,0.39,0.0,0.02,0.2066666666666666,
2014-07-06,0.0,0.0,0.49,0.0,0.0,0.0,0.0816666666666666,
2014-07-07,0.2,0.0,0.93,0.0,0.94,4.09,1.0266666666666666,
2014-07-08,0.08,0.0,0.0,0.2,0.02,2.87,0.5283333333333333,
2014-07-09,0.04,0.0,0.0,0.37,0.0,0.06,0.094,
2014-07-10,0.31,0.2,0.28,0.87,0.26,0.12,0.34,
2014-07-11,0.22,0.16,0.0,0.28,0.04,0.02,0.144,
2014-07-12,0.08,0.0,0.0,0.0,0.0,0.0,0.016,
2014-07-13,0.0,0.02,0.0,0.0,0.04,1.24,0.325,
2014-07-14,0.0,0.0,0.0,0.0,0.67,0.06,0.146,
2014-07-15,0.0,0.06,0.0,0.0,0.08,0.02,0.032,
2014-07-16,0.0,0.0,0.0,0.0,0.0,0.53,0.106,
2014-07-17,0.0,0.0,0.0,0.49,0.0,0.98,0.294,
2014-07-18,0.0,0.0,0.0,0.02,0.0,0.0,0.004,
2014-07-19,0.1,0.0,0.02,0.02,0.0,0.0,0.0233333333333333,
2014-07-20,0.26,0.0,0.06,0.79,0.0,0.0,0.185,
2014-07-21,2.09,0.0,0.0,0.1,0.24,0.0,0.4049999999999999,
2014-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-07-23,0.0,0.33,0.0,0.0,0.0,0.0,0.066,
2014-07-24,0.0,0.04,0.0,0.02,0.0,0.0,0.012,
2014-07-25,0.28,0.0,0.0,0.0,0.0,0.0,0.056,
2014-07-26,0.0,0.0,0.0,0.0,0.0,0.04,0.008,
2014-07-27,0.0,0.77,0.0,0.0,0.0,0.16,0.186,
2014-07-28,0.12,1.44,0.0,0.0,0.0,0.0,0.312,
2014-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-07-31,0.0,0.0,0.0,0.0,0.0,0.22,0.044,
