DATE,0,1,2,3,4,5,6,7,8,9,Average,Yearly_Deviation
2015-04-13,0.08,,1.02,0.35,,0.63,0.04,,0.22,0.61,0.39,
2015-04-14,0.59,0.43,1.46,0.31,0.59,0.2,0.43,1.14,0.16,0.47,0.5900000000000001,
2015-04-15,0.02,,,0.01,0.04,0.0,0.08,0.24,,,0.065,
2015-04-16,0.04,,,0.04,0.28,,0.08,0.28,,,0.144,
2015-04-17,,,,,,,,,,,0.0,
2015-04-18,,,,,,,,,,,0.0,
2015-04-19,0.59,0.09,0.59,0.28,0.39,0.39,0.35,,0.83,3.31,0.43875,
2015-04-20,0.29,0.79,0.2,0.08,0.31,0.08,0.55,0.54,0.51,0.67,0.3722222222222222,
2015-04-21,,,,,,,,,,,0.0,
2015-04-22,0.0,,,,,,,,,,0.0,
2015-04-23,,,,,,,,,,,0.0,
2015-04-24,,,,,,,,,,,0.0,
2015-04-25,,,,,,,,,,,0.0,
2015-04-26,,,,,,,,,,,0.0,
2015-04-27,,,,,,,,,,,0.0,
2015-04-28,,,,0.59,,0.02,,,,,0.305,
2015-04-29,0.08,,0.11,2.43,0.16,0.2,0.79,0.01,,1.42,0.54,
2015-04-30,,,,0.1,,0.36,,,,,0.2299999999999999,
2015-05-01,,,,,,,,,,,0.0,
2015-05-02,,,,,,,,,,,0.0,
2015-05-03,0.12,0.04,0.28,0.97,0.16,1.1,0.2,0.2,0.24,1.65,0.3677777777777778,
2015-05-04,,,,,,0.0,,,0.67,,0.335,
2015-05-05,,,,,,,,,,,0.0,
2015-05-06,,,,,,,,,,,0.0,
2015-05-07,,,,,,,,,,,0.0,
2015-05-08,,,,,,,,,,,0.0,
2015-05-09,,,0.0,0.0,,0.08,0.0,,,0.01,0.02,
2015-05-10,,,,,,,,,,,0.0,
2015-05-11,,,,,,,,,,,0.0,
2015-05-12,0.63,0.06,0.47,0.24,0.71,0.67,0.63,0.94,0.43,3.27,0.5311111111111111,
2015-05-13,,,,,0.0,,,,,,0.0,
2015-05-14,,,,,,0.0,,,,,0.0,
2015-05-15,,,,,,0.08,,,,,0.08,
2015-05-16,,0.0,,,,0.02,,,,0.03,0.01,
2015-05-17,,,,,,,,,,,0.0,
2015-05-18,,,0.24,0.24,,1.38,,,,1.18,0.62,
2015-05-19,0.1,,,,0.04,,,,,,0.07,
2015-05-20,,,,,,,0.0,,,,0.0,
2015-05-21,,,,,,,,,,,0.0,
2015-05-22,,,,,,,,,,,0.0,
2015-05-23,,,,0.0,,0.0,,,,,0.0,
2015-05-24,,,,,,,,,,,0.0,
2015-05-25,,,,,,,,,,,0.0,
2015-05-26,,,,,,,,,,,0.0,
2015-05-27,,,,,,,,,,,0.0,
2015-05-28,,,,,,0.04,,,,,0.04,
2015-05-29,,,,,,,,,,,0.0,
2015-05-30,0.06,0.01,0.05,0.47,0.02,0.16,0.12,0.02,,0.18,0.1137499999999999,
2015-05-31,,,,,0.0,,,,,,0.0,
2015-06-01,,,,,,,,,,,0.0,
2015-06-02,,,,,,,,,,,0.0,
2015-06-03,,,,,,0.35,,,,,0.35,
2015-06-04,,,,,,,,,,,0.0,
2015-06-05,0.02,,0.41,0.16,0.04,0.55,0.0,0.0,,0.28,0.1685714285714286,
2015-06-06,,,,,,,0.0,,,,0.0,
2015-06-07,,,,,,0.0,,,,,0.0,
2015-06-08,,,,,,0.16,,,,,0.16,
2015-06-09,,,,,,,,,0.0,,0.0,
2015-06-10,,,,,,,,,,,0.0,
2015-06-11,,,,0.03,,0.04,0.04,,,0.13,0.0366666666666666,
2015-06-12,,,,,0.24,,0.0,0.02,0.0,,0.065,
2015-06-13,0.04,,,,0.02,,,0.35,0.01,,0.105,
2015-06-14,0.43,,,,0.63,,0.24,0.04,0.16,,0.2999999999999999,
2015-06-15,,,,,,,0.0,,,0.04,0.0,
2015-06-16,,,,0.0,,0.03,0.02,,,,0.0166666666666666,
2015-06-17,,,,0.08,,0.61,0.02,,0.0,,0.1775,
2015-06-18,,,,,0.47,0.0,,,0.01,,0.16,
2015-06-19,,0.02,,,,,0.0,,0.12,,0.0466666666666666,
2015-06-20,,,,1.33,,,0.63,0.2,0.01,,0.5425,
2015-06-21,,,,,,0.08,,,,0.0,0.08,
2015-06-22,,,,,,0.01,,,,,0.01,
2015-06-23,,,,,,,,0.04,,,0.04,
2015-06-24,,,,,,1.26,,,,,1.26,
2015-06-25,,,,1.61,,0.2,0.2,,,,0.67,
2015-06-26,0.71,5.98,2.15,0.47,0.55,0.24,2.99,0.91,3.19,1.14,1.91,
2015-06-27,,0.39,,,,0.35,,,0.39,0.04,0.3766666666666666,
2015-06-28,,,,,,,,,,,0.0,
2015-06-29,,,,,,,,,,,0.0,
2015-06-30,,0.04,0.43,0.75,0.12,2.13,0.05,,0.0,,0.5028571428571428,
2015-07-01,,0.12,0.24,0.01,0.02,0.0,0.0,0.28,0.04,0.16,0.08875,
2015-07-02,,,,,,,,,,,0.0,
2015-07-03,,,,,,,,,,,0.0,
2015-07-04,,0.01,,,,,,,,,0.01,
2015-07-05,,,,,,,,,,,0.0,
2015-07-06,,,,,,0.02,,,,,0.02,
2015-07-07,,,0.55,0.91,,2.17,0.12,,,1.22,0.9375,
2015-07-08,0.0,0.87,1.08,0.11,0.02,3.24,0.47,0.48,3.23,1.5,1.0555555555555556,
2015-07-09,,0.28,2.32,0.16,,,1.18,,0.12,0.31,0.8119999999999999,
2015-07-10,,,,,,0.0,,,,,0.0,
2015-07-11,,,,,,2.7,,,,,2.7,
2015-07-12,0.91,0.16,0.59,2.64,1.02,4.69,0.39,1.02,,1.14,1.4275000000000002,
2015-07-13,0.83,,,0.24,0.55,0.0,0.2,0.24,0.08,,0.3057142857142856,
2015-07-14,,,,,,,,0.01,,,0.01,
2015-07-15,,,,,,,,,,,0.0,
2015-07-16,,0.01,,,,,,,0.04,,0.025,
2015-07-17,,0.02,0.0,,,,,,0.24,,0.0866666666666666,
2015-07-18,,,,,,,0.02,,,,0.02,
2015-07-19,0.19,0.02,,,0.22,,0.0,0.32,,,0.15,
2015-07-20,0.03,0.01,0.51,0.05,,0.0,,0.0,0.12,0.39,0.1028571428571428,
2015-07-21,0.04,0.0,0.04,0.02,0.43,,0.47,0.0,0.04,0.2,0.1299999999999999,
2015-07-22,,,,,,,,,,,0.0,
2015-07-23,,0.08,,0.39,0.55,0.0,0.56,0.55,0.02,1.85,0.3071428571428572,
2015-07-24,0.91,0.59,,0.28,1.14,0.0,0.35,2.36,,0.2,0.8042857142857143,
2015-07-25,1.3,0.04,,,3.19,,0.0,2.17,,,1.34,
2015-07-26,1.65,,,,1.61,,,1.39,,,1.55,
2015-07-27,0.04,,,,0.08,,,,,,0.06,
2015-07-28,0.0,,,0.0,0.0,,0.0,,,,0.0,
2015-07-29,0.96,,,,0.18,,1.26,0.35,,0.12,0.6875,
2015-07-30,,,,,,,,,,,0.0,
2015-07-31,,,,,,,,,,,0.0,
2015-08-01,,,,,,,,,,,0.0,
2015-08-02,0.67,0.06,,,0.67,,0.04,0.59,,,0.406,
2015-08-03,0.03,,,,0.0,,,,,,0.015,
2015-08-04,,,,,,,,,,,0.0,
2015-08-05,0.0,,,,0.0,,,0.0,,,0.0,
2015-08-06,,,,,,,,,,,0.0,
2015-08-07,,,,,,,,,,,0.0,
2015-08-08,,,,,0.31,,,,,,0.31,
2015-08-09,,,,,,,,,,,0.0,
2015-08-10,,,,,,,,,,,0.0,
2015-08-11,,,,0.98,,,0.0,,,,0.49,
2015-08-12,,,1.02,0.08,,3.5,,,,0.63,1.5333333333333332,
2015-08-13,,,,,,,,,,,0.0,
