DATE,0,1,2,3,4,Average
2014-06-07,,,0.47,,0.0,0.235
2014-06-08,,0.01,0.51,,,0.26
2014-06-09,,,0.14,,0.0,0.07
2014-06-10,,0.48,0.03,,,0.255
2014-06-11,,0.47,1.15,,,0.8099999999999999
2014-06-12,,0.0,,,,0.0
2014-06-13,,0.45,,,,0.45
2014-06-14,,,,,0.0,0.0
2014-06-15,,0.15,0.02,,,0.08499999999999999
2014-06-16,,1.3,,,0.02,0.66
2014-06-17,,0.08,0.04,,,0.06
2014-06-18,,0.07,,,,0.07
2014-06-19,,0.3,0.05,,,0.175
2014-06-20,,0.0,0.35,,0.04,0.12999999999999998
2014-06-21,,0.15,1.24,,,0.695
2014-06-22,,,0.46,,0.02,0.24000000000000002
2014-06-23,,,1.52,,0.01,0.765
2014-06-24,,,0.03,,0.0,0.015
2014-06-25,,0.06,0.9,,0.08,0.3466666666666667
2014-06-26,,,,,2.04,2.04
2014-06-27,,,,,2.0,2.0
2014-06-28,,,,,0.0,0.0
2014-06-29,,,0.46,,0.04,0.25
2014-06-30,,,0.02,,0.02,0.02
2014-07-01,,1.88,0.66,,0.44,0.9933333333333333
2014-07-02,,0.03,0.31,,0.02,0.12
2014-07-03,,0.0,,,0.05,0.025
2014-07-04,,0.0,,,1.75,0.875
2014-07-05,,,,,0.01,0.01
2014-07-06,,,,,0.0,0.0
2014-07-07,,0.02,0.0,,0.0,0.006666666666666667
2014-07-08,,,0.4,,,0.4
2014-07-09,,,0.0,,,0.0
2014-07-10,,,0.81,,,0.81
2014-07-11,,,0.35,,,0.35
2014-07-12,,,0.13,,1.72,0.925
2014-07-13,,0.62,1.08,,0.0,0.5666666666666668
2014-07-14,,,0.03,,0.0,0.015
2014-07-15,,0.04,0.02,,,0.03
2014-07-16,,0.49,,,0.0,0.245
2014-07-17,,,,,1.97,1.97
2014-07-18,,,0.29,,0.03,0.15999999999999998
2014-07-19,,,0.96,,,0.96
2014-07-20,,0.0,0.3,,,0.15
2014-07-21,,,0.0,,,0.0
2014-07-22,,0.0,0.0,,,0.0
2014-07-23,,0.0,0.0,,,0.0
2014-07-24,,0.0,1.7,,,0.85
2014-07-25,,0.0,0.32,,,0.16
2014-07-26,,,0.09,,,0.09
2014-07-27,,,0.39,,,0.39
2014-07-28,,,0.0,,,0.0
2014-07-29,,0.89,0.0,,,0.445
2014-07-30,,0.75,,,,0.75
2014-07-31,,0.02,,,,0.02
2014-08-01,,0.0,0.25,,,0.125
2014-08-02,,,1.58,,,1.58
2014-08-03,,0.02,,,0.04,0.03
2014-08-04,,0.6,,,,0.6
2014-08-05,,,0.04,,,0.04
2014-08-06,,,2.57,,0.52,1.545
2014-08-07,,,1.65,,,1.65
2014-08-08,,,0.02,,,0.02
2014-08-09,,0.15,,,,0.15
2014-08-10,,,1.52,,,1.52
2014-08-11,,,,,0.15,0.15
2014-08-12,,0.27,4.1,,2.22,2.1966666666666668
2014-08-13,,0.48,0.62,,0.07,0.39000000000000007
2014-08-14,,0.27,0.6,,0.0,0.29
2014-08-15,,0.0,0.65,,0.0,0.21666666666666667
2014-08-16,,,,,0.03,0.03
2014-08-17,,,0.0,,0.01,0.005
2014-08-18,,,,,0.1,0.1
2014-08-19,,,2.6,,0.04,1.32
2014-08-20,,,1.61,,0.0,0.805
2014-08-21,,0.0,0.05,,,0.025
2014-08-22,,0.12,1.42,,,0.77
2014-08-23,,0.03,,,0.2,0.115
2014-08-24,,0.0,,,0.08,0.04
2014-08-25,,0.0,,,0.03,0.015
2014-08-26,,,,,2.06,2.06
2014-08-27,,,,,0.01,0.01
2014-08-28,,0.23,0.8,,0.0,0.3433333333333333
2014-08-29,,,0.02,,,0.02
2014-08-30,,0.04,0.27,,0.0,0.10333333333333333
2014-08-31,,0.11,0.44,,0.2,0.25
2014-09-01,,3.35,,,0.2,1.7750000000000001
2014-09-02,,0.82,0.0,,0.37,0.39666666666666667
2014-09-03,,0.61,,,0.37,0.49
2014-09-04,,0.0,,,0.0,0.0
2014-09-05,,,0.09,,,0.09
2014-09-06,,,0.07,,,0.07
2014-09-07,,,0.0,,,0.0
2014-09-08,,,0.69,,0.3,0.495
2014-09-09,,,,,,
2014-09-10,,,0.0,,0.34,0.17
2014-09-11,,0.02,,,0.02,0.02
2014-09-12,,,0.69,,0.1,0.39499999999999996
2014-09-13,,,0.55,,,0.55
2014-09-14,,,,,0.06,0.06
2014-09-15,,,0.22,,0.03,0.125
2014-09-16,,,1.08,,0.0,0.54
2014-09-17,,,0.44,,0.0,0.22
2014-09-18,,,,,1.34,1.34
2014-09-19,,0.06,,,0.04,0.05
2014-09-20,,,,,0.0,0.0
2014-09-21,,,,,,
2014-09-22,,0.07,,,,0.07
2014-09-23,,0.61,,,,0.61
2014-09-24,,0.0,,,,0.0
2014-09-25,,0.0,,,0.0,0.0
2014-09-26,,,,,,
2014-09-27,,,,,,
2014-09-28,,,,,1.65,1.65
2014-09-29,,,,,0.2,0.2
2014-09-30,,,,,0.01,0.01
2014-10-01,,0.4,,,0.0,0.2
2014-10-02,,,0.02,,,0.02
2014-10-03,,0.06,,,,0.06
2014-10-04,,0.0,,,,0.0
2014-10-05,,,,,,
2014-10-06,,,,,,
2014-10-07,,,,,,
2014-10-08,,0.01,,,,0.01
2014-10-09,,0.0,,,,0.0
2014-10-10,,,,,,
2014-10-11,,0.0,,,,0.0
2014-10-12,,,,,,
2014-10-13,,,,,,
2014-10-14,,,,,,
2014-10-15,,,,,,
