DATE,0,1,2,3,4,Average,Yearly_Deviation
2014-04-09,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-10,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-11,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-12,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-13,0.45,0.0,0.28,0.2,0.0,0.186,
2014-04-14,0.16,0.0,0.0,0.0,0.0,0.032,
2014-04-15,0.0,0.71,0.0,0.0,0.0,0.142,
2014-04-16,0.0,0.05,0.0,0.0,0.0,0.01,
2014-04-17,0.0,0.0,0.02,0.0,0.0,0.004,
2014-04-18,0.0,0.0,0.0,0.0,0.0,0.0,
2014-04-19,0.0,0.0,0.0,0.07,0.0,0.014,
2014-04-20,0.0,0.0,0.39,0.0,0.0,0.078,
2014-04-21,0.51,0.0,0.01,0.0,0.0,0.104,
2014-04-22,0.0,0.01,0.0,0.0,0.0,0.002,
2014-04-23,0.02,0.0,0.0,0.19,0.0,0.0419999999999999,
2014-04-24,0.01,0.0,0.0,0.0,0.0,0.002,
2014-04-25,0.24,0.02,0.0,0.0,0.06,0.064,
2014-04-26,0.01,0.92,0.0,0.0,0.0,0.186,
2014-04-27,0.03,0.0,0.02,0.29,0.0,0.0679999999999999,
2014-04-28,0.48,0.0,0.0,0.0,0.0,0.096,
2014-04-29,0.11,0.03,0.0,0.0,0.0,0.028,
2014-04-30,0.12,4.97,0.0,0.0,0.0,1.018,
2014-05-01,0.09,0.12,0.0,0.0,0.0,0.0419999999999999,
2014-05-02,0.04,0.0,0.0,0.0,0.0,0.008,
2014-05-03,0.0,0.08,0.0,0.0,0.0,0.016,
2014-05-04,0.0,0.02,0.0,0.0,0.0,0.004,
2014-05-05,0.01,0.0,0.0,0.0,0.0,0.002,
2014-05-06,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-07,0.0,0.0,0.0,0.06,0.0,0.012,
2014-05-08,0.0,0.41,1.62,0.37,0.0,0.4800000000000001,
2014-05-09,1.43,0.04,0.0,0.01,0.0,0.296,
2014-05-10,0.0,0.37,0.0,0.03,0.0,0.08,
2014-05-11,0.41,0.03,0.0,0.7,0.0,0.2279999999999999,
2014-05-12,0.03,0.0,0.47,0.2,0.0,0.1399999999999999,
2014-05-13,0.14,0.0,0.15,0.0,0.0,0.058,
2014-05-14,0.06,0.01,0.01,0.0,0.0,0.0159999999999999,
2014-05-15,0.26,0.15,0.0,0.0,0.0,0.082,
2014-05-16,0.08,1.54,0.0,0.0,0.0,0.324,
2014-05-17,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-18,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-19,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-20,0.64,0.0,0.0,0.26,0.0,0.18,
2014-05-21,0.01,0.0,0.0,1.2,0.0,0.242,
2014-05-22,0.0,0.24,0.0,0.54,0.0,0.156,
2014-05-23,0.0,0.91,0.0,0.04,0.0,0.19,
2014-05-24,0.0,0.4,0.0,0.0,0.0,0.08,
2014-05-25,0.0,0.0,0.24,0.05,0.0,0.0579999999999999,
2014-05-26,0.08,0.0,0.03,0.0,0.0,0.022,
2014-05-27,0.5,0.0,0.34,0.0,0.0,0.168,
2014-05-28,0.68,0.0,0.0,0.0,0.0,0.136,
2014-05-29,0.0,0.0,0.0,0.0,0.0,0.0,
2014-05-30,0.0,0.0,0.0,0.04,0.0,0.008,
2014-05-31,0.0,0.05,0.14,0.01,0.0,0.04,
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,
2014-06-02,0.2,0.0,0.0,0.0,0.0,0.04,
2014-06-03,0.0,0.12,0.0,0.0,0.0,0.024,
2014-06-04,0.12,0.0,0.0,0.01,0.0,0.026,
2014-06-05,0.0,0.87,0.0,0.05,0.0,0.184,
2014-06-06,0.0,0.0,0.0,0.0,0.0,0.0,
2014-06-07,0.12,0.0,0.0,0.0,0.0,0.024,
2014-06-08,0.21,0.0,0.14,0.38,0.0,0.146,
2014-06-09,0.0,1.6,0.72,0.0,0.0,0.4640000000000001,
2014-06-10,0.45,0.0,0.0,0.0,0.0,0.09,
2014-06-11,0.03,0.02,0.0,0.01,0.0,0.012,
2014-06-12,0.01,0.07,0.1,0.0,0.0,0.036,
2014-06-13,0.0,1.28,0.0,0.0,0.0,0.256,
2014-06-14,0.0,0.0,0.0,0.18,0.0,0.036,
2014-06-15,0.0,0.0,0.0,0.0,0.0,0.0,
2014-06-16,0.0,0.0,0.0,0.0,0.0,0.0,
2014-06-17,0.0,0.0,0.0,0.0,0.0,0.0,
2014-06-18,0.8,0.0,0.0,0.37,0.0,0.2339999999999999,
2014-06-19,0.39,0.15,0.0,0.0,0.0,0.108,
2014-06-20,0.03,0.0,0.0,0.0,0.0,0.006,
2014-06-21,0.73,0.0,0.0,0.0,0.0,0.146,
2014-06-22,0.0,0.0,0.96,0.0,0.0,0.192,
2014-06-23,0.16,0.0,0.39,0.25,0.0,0.16,
2014-06-24,1.15,0.0,0.68,0.06,0.0,0.378,
2014-06-25,0.02,0.08,0.05,0.0,0.0,0.03,
2014-06-26,0.0,0.07,0.0,0.0,0.0,0.014,
2014-06-27,0.0,0.0,0.0,0.51,0.0,0.102,
2014-06-28,0.16,0.0,0.0,0.0,0.0,0.032,
2014-06-29,0.04,0.0,0.0,0.0,0.0,0.008,
2014-06-30,2.06,0.0,0.0,0.0,0.0,0.412,
2014-07-01,0.04,0.0,0.0,0.0,0.0,0.008,
2014-07-02,0.12,0.96,0.0,0.0,0.0,0.216,
2014-07-03,0.05,1.78,0.0,0.0,0.0,0.366,
2014-07-04,0.0,0.14,0.0,0.0,0.0,0.028,
2014-07-05,0.01,0.0,0.0,0.0,0.0,0.002,
2014-07-06,0.0,0.0,0.0,0.0,0.0,0.0,
2014-07-07,0.48,0.04,0.0,0.15,0.0,0.134,
2014-07-08,0.48,0.39,0.0,0.0,0.0,0.174,
2014-07-09,0.0,0.09,0.01,0.0,0.0,0.0199999999999999,
2014-07-10,0.0,0.0,0.0,0.0,0.0,0.0,
2014-07-11,0.0,0.0,0.0,0.12,0.0,0.024,
2014-07-12,3.31,0.0,0.0,0.3,0.0,0.722,
2014-07-13,0.04,0.03,0.0,0.0,0.0,0.014,
2014-07-14,0.37,0.46,0.36,0.05,0.0,0.248,
2014-07-15,0.05,1.3,0.0,0.04,0.0,0.278,
2014-07-16,0.0,0.0,0.35,0.26,0.0,0.122,
2014-07-17,0.0,0.0,0.59,0.0,0.0,0.118,
2014-07-18,0.0,0.0,0.0,0.0,0.0,0.0,
2014-07-19,0.0,0.0,0.0,0.0,0.0,0.0,
2014-07-20,0.0,0.0,0.0,0.0,0.0,0.0,
2014-07-21,0.0,0.0,0.0,0.0,0.0,0.0,
2014-07-22,0.19,0.0,0.0,0.0,0.0,0.038,
2014-07-23,0.0,0.19,0.0,0.0,0.0,0.038,
2014-07-24,0.0,0.0,0.0,0.0,0.0,0.0,
2014-07-25,0.0,0.0,0.0,0.0,0.0,0.0,
2014-07-26,0.0,0.0,0.0,0.0,0.0,0.0,
2014-07-27,0.04,0.02,0.0,0.0,0.0,0.012,
2014-07-28,0.0,0.19,0.0,0.0,0.0,0.038,
2014-07-29,0.0,0.0,0.01,1.8,0.0,0.362,
2014-07-30,0.0,0.0,0.02,1.13,0.0,0.2299999999999999,
2014-07-31,0.0,0.0,0.0,0.0,0.0,0.0,
2014-08-01,0.21,0.0,0.02,0.0,0.0,0.046,
2014-08-02,0.0,0.41,0.0,0.0,0.02,0.086,
2014-08-03,0.0,0.07,0.0,0.0,0.02,0.018,
2014-08-04,1.82,0.0,0.0,0.0,0.0,0.364,
2014-08-05,0.07,0.0,0.0,0.01,0.0,0.016,
2014-08-06,0.0,0.0,0.0,0.01,0.0,0.002,
2014-08-07,0.0,0.0,0.0,0.73,0.0,0.146,
2014-08-08,0.0,0.0,0.0,0.0,0.0,0.0,
2014-08-09,0.0,0.0,0.0,0.07,0.0,0.014,
2014-08-10,0.0,0.0,0.0,0.0,0.0,0.0,
2014-08-11,1.16,0.0,0.0,0.0,0.0,0.2319999999999999,
2014-08-12,0.16,0.19,0.0,0.0,0.0,0.0699999999999999,
2014-08-13,0.0,0.53,0.0,0.0,0.0,0.106,
2014-08-14,0.0,0.0,0.0,0.0,0.0,0.0,
2014-08-15,0.0,0.0,0.0,0.0,0.0,0.0,
2014-08-16,0.0,0.0,0.6,0.0,0.0,0.12,
2014-08-17,0.0,0.01,2.19,0.05,0.0,0.4499999999999999,
2014-08-18,0.0,0.0,0.0,0.0,0.0,0.0,
2014-08-19,0.13,0.0,0.0,0.11,0.0,0.048,
2014-08-20,0.0,0.0,0.0,0.04,0.0,0.008,
2014-08-21,1.29,0.35,0.0,0.04,0.0,0.336,
2014-08-22,3.17,0.06,0.0,0.03,0.0,0.6519999999999999,
2014-08-23,0.5,0.01,0.0,0.07,0.0,0.116,
2014-08-24,0.0,0.0,0.0,0.0,0.0,0.0,
2014-08-25,0.78,0.0,0.0,0.81,0.0,0.318,
2014-08-26,0.0,0.0,0.0,0.65,0.0,0.13,
2014-08-27,0.0,0.0,0.0,0.11,0.0,0.022,
2014-08-28,0.02,0.0,0.0,0.0,0.0,0.004,
2014-08-29,0.0,0.0,0.02,0.0,0.0,0.004,
2014-08-30,0.0,0.0,0.0,0.0,0.0,0.0,
2014-08-31,0.0,0.62,0.0,0.0,0.0,0.124,
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-02,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-03,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-04,0.22,0.0,0.0,0.24,0.0,0.092,
2014-09-05,0.43,0.0,0.0,0.19,0.0,0.124,
2014-09-06,0.0,0.11,0.12,0.0,0.0,0.046,
2014-09-07,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-08,0.0,0.0,0.0,0.0,0.01,0.002,
2014-09-09,0.01,0.0,0.0,0.01,0.0,0.004,
2014-09-10,1.61,0.0,0.0,0.13,0.0,0.348,
2014-09-11,0.0,0.0,0.08,0.08,0.0,0.032,
2014-09-12,0.1,0.0,0.0,0.0,0.0,0.02,
2014-09-13,0.01,0.26,0.0,0.0,0.0,0.054,
2014-09-14,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-15,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-16,0.0,0.37,0.0,0.0,0.0,0.074,
2014-09-17,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-18,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-19,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-20,0.12,0.0,0.0,0.0,0.0,0.024,
2014-09-21,0.0,0.15,0.0,0.03,0.0,0.036,
2014-09-22,0.0,0.0,0.0,0.09,0.0,0.018,
2014-09-23,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-24,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-25,0.0,0.32,0.0,0.0,0.0,0.064,
2014-09-26,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-27,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-28,0.0,0.0,0.0,0.01,0.0,0.002,
2014-09-29,0.0,0.0,0.0,1.01,0.0,0.202,
2014-09-30,0.0,0.0,0.0,0.0,0.0,0.0,
2014-10-01,0.0,0.02,0.0,0.17,0.0,0.038,
2014-10-02,0.72,0.0,0.86,0.0,0.0,0.316,
2014-10-03,1.05,0.0,0.0,0.0,0.0,0.21,
2014-10-04,0.05,1.18,0.0,0.0,0.0,0.246,
2014-10-05,0.0,0.0,0.0,0.0,0.0,0.0,
2014-10-06,0.01,0.0,0.01,0.0,0.0,0.004,
2014-10-07,0.0,0.06,0.0,0.0,0.0,0.012,
2014-10-08,0.0,0.04,0.0,0.0,0.0,0.008,
2014-10-09,0.0,0.0,0.0,0.25,0.0,0.05,
2014-10-10,0.0,0.0,0.32,0.01,0.0,0.066,
2014-10-11,0.0,0.33,0.26,0.0,0.0,0.118,
2014-10-12,0.01,0.0,0.0,0.07,0.0,0.016,
2014-10-13,0.44,0.05,1.54,0.0,0.0,0.406,
2014-10-14,1.18,0.0,0.0,0.0,0.0,0.236,
2014-10-15,0.07,0.69,0.0,0.0,0.0,0.152,
2014-10-16,0.0,1.11,0.0,0.0,0.0,0.222,
2014-10-17,0.01,0.0,0.0,0.0,0.0,0.002,
2014-10-18,0.02,0.0,0.0,0.0,0.0,0.004,
2014-10-19,0.0,0.0,0.0,0.0,0.0,0.0,
2014-10-20,0.0,0.0,0.0,0.0,0.0,0.0,
2014-10-21,0.0,0.11,0.0,0.0,0.0,0.022,
2014-10-22,0.0,1.51,0.0,0.02,0.0,0.306,
2014-10-23,0.0,0.61,0.0,0.0,0.0,0.122,
2014-10-24,0.0,0.0,0.0,0.0,0.0,0.0,
2014-10-25,0.0,0.01,0.0,0.0,0.0,0.002,
2014-10-26,0.0,0.0,0.0,0.0,0.0,0.0,
2014-10-27,0.02,0.0,0.0,0.0,0.0,0.004,
2014-10-28,0.03,0.0,0.0,0.0,0.0,0.006,
2014-10-29,0.0,0.0,0.0,0.0,0.0,0.0,
2014-10-30,0.0,0.0,0.0,0.0,0.0,0.0,
2014-10-31,0.04,0.05,0.0,0.0,0.25,0.0679999999999999,
2014-11-01,0.0,0.35,0.0,0.0,0.18,0.106,
2014-11-02,0.0,0.0,0.0,0.0,0.0,0.0,
2014-11-03,0.0,0.0,0.0,0.3,0.0,0.06,
2014-11-04,0.02,0.0,0.85,0.0,0.0,0.174,
2014-11-05,0.0,0.0,0.19,0.0,0.0,0.038,
2014-11-06,0.0,0.37,0.0,0.0,0.0,0.074,
2014-11-07,0.0,0.0,0.0,0.21,0.0,0.0419999999999999,
2014-11-08,0.0,0.0,0.0,0.0,0.0,0.0,
2014-11-09,0.0,0.0,0.0,0.0,0.0,0.0,
2014-11-10,0.0,0.0,0.0,0.02,0.0,0.004,
2014-11-11,0.23,0.0,0.0,0.01,0.0,0.048,
2014-11-12,0.0,0.0,0.0,0.15,0.0,0.03,
2014-11-13,0.0,0.2,0.0,0.0,0.0,0.04,
2014-11-14,0.0,0.06,0.0,0.0,0.0,0.012,
2014-11-15,0.0,0.0,0.0,0.07,0.0,0.014,
2014-11-16,0.0,0.03,0.0,0.0,0.0,0.006,
2014-11-17,0.0,1.54,0.0,0.0,0.0,0.308,
2014-11-18,0.0,0.0,0.0,0.0,0.0,0.0,
2014-11-19,0.0,0.0,0.0,0.0,0.0,0.0,
2014-11-20,0.0,0.0,0.0,0.0,0.0,0.0,
2014-11-21,0.0,0.0,0.08,0.0,0.0,0.016,
2014-11-22,0.05,0.0,0.77,0.0,0.0,0.164,
2014-11-23,0.62,0.0,0.0,0.0,0.0,0.124,
2014-11-24,0.35,0.7,0.0,0.0,0.0,0.2099999999999999,
2014-11-25,0.0,0.0,0.0,0.0,0.0,0.0,
2014-11-26,0.0,1.24,0.0,0.0,0.0,0.248,
2014-11-27,0.0,0.02,0.0,0.0,0.0,0.004,
2014-11-28,0.0,0.0,0.0,0.0,0.0,0.0,
2014-11-29,0.0,0.0,0.0,0.0,0.0,0.0,
2014-11-30,0.0,0.0,0.0,0.0,0.3,0.06,
2014-12-01,0.0,0.09,0.0,0.0,0.0,0.018,
2014-12-02,0.0,0.08,0.0,0.0,1.21,0.258,
2014-12-03,0.0,0.06,0.0,0.0,0.31,0.074,
2014-12-04,0.0,0.0,0.0,0.0,0.0,0.0,
2014-12-05,0.0,0.51,0.0,0.0,0.0,0.102,
2014-12-06,0.0,1.22,0.0,0.0,0.0,0.244,
2014-12-07,0.0,0.04,0.0,0.0,0.0,0.008,
2014-12-08,0.1,0.0,0.0,0.0,0.0,0.02,
2014-12-09,0.02,2.54,0.0,0.0,0.0,0.512,
2014-12-10,0.0,0.08,0.01,0.0,0.0,0.018,
2014-12-11,0.0,0.01,0.0,0.0,0.01,0.004,
2014-12-12,0.0,0.0,0.0,0.0,1.6,0.32,
2014-12-13,0.0,0.0,0.0,0.0,0.0,0.0,
2014-12-14,0.0,0.0,0.25,0.08,0.0,0.066,
2014-12-15,0.12,0.0,0.0,0.0,0.0,0.024,
2014-12-16,0.02,0.2,0.0,0.0,0.41,0.126,
2014-12-17,0.0,0.02,0.33,0.0,0.15,0.1,
2014-12-18,0.0,0.0,0.0,0.0,0.0,0.0,
2014-12-19,0.0,0.0,0.06,0.0,0.0,0.012,
2014-12-20,0.0,0.0,0.0,0.0,0.0,0.0,
2014-12-21,0.0,0.0,0.0,0.07,0.0,0.014,
2014-12-22,0.28,0.04,0.0,0.05,0.0,0.074,
2014-12-23,0.12,0.16,0.5,0.0,0.0,0.156,
2014-12-24,0.12,0.8,0.0,0.0,0.0,0.184,
2014-12-25,0.0,0.09,0.0,0.1,0.0,0.038,
2014-12-26,0.0,0.0,0.03,0.07,0.0,0.02,
2014-12-27,0.0,0.0,0.02,0.0,0.0,0.004,
2014-12-28,0.0,0.1,0.0,0.0,0.0,0.02,
2014-12-29,0.0,0.0,0.0,0.17,0.0,0.034,
2014-12-30,0.0,0.0,0.0,0.05,0.19,0.048,
2014-12-31,0.0,0.0,0.0,0.0,0.0,0.0,
2015-01-01,0.0,0.0,0.44,0.08,0.0,0.104,0.0640000000000001
2015-01-02,0.0,0.0,0.49,0.0,0.0,0.098,0.03
2015-01-03,0.55,0.71,0.31,0.08,0.0,0.33,0.27200000000000013
2015-01-04,0.1,0.3,0.0,0.0,0.0,0.08,-0.0020000000000000018
2015-01-05,0.11,0.0,0.0,0.0,0.0,0.022,-0.022
2015-01-06,0.0,0.05,0.0,0.0,0.0,0.01,-0.06199999999999999
2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,0.05,0.0,0.0,0.0,0.0,0.01,-0.024
2015-01-09,0.0,0.07,0.0,0.0,0.0,0.014,0.006
2015-01-10,0.0,0.0,0.12,0.0,0.48,0.12,-0.08399999999999999
2015-01-11,0.12,0.0,0.48,0.0,0.5,0.22,0.106
2015-01-12,0.03,0.36,0.0,0.0,0.0,0.078,0.068
2015-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.0839999999999999
2015-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-18,0.0,2.1,0.0,0.0,0.0,0.42,0.39799999999999996
2015-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-20,0.01,0.0,0.0,0.02,0.0,0.006,0.006
2015-01-21,0.0,0.0,0.22,0.12,0.0,0.0679999999999999,-0.024000000000000105
2015-01-22,0.0,0.0,0.97,0.0,0.0,0.194,0.186
2015-01-23,0.0,0.0,0.0,0.0,0.0,0.0,-0.016
